name,price,stars,rating_count
"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver",$,4.8 out of 5 stars,
"2020 Apple iPad Air (10.9-inch, Wi-Fi, 64GB) Green (Renewed)",$369.95,4.5 out of 5 stars,
Apple iPad Air 16GB WiFi Tablet - Space Gray (Renewed),$98.99,3.6 out of 5 stars,
"2022 Apple iPad (10.9-inch, Wi-Fi, 64GB) - Blue (Renewed)",$369.00,4.5 out of 5 stars,
Apple Renewed iPad Air 2 - 64GB - Gold (Renewed),$135.00,4.4 out of 5 stars,
"2019 Apple iPad (10.2-inch, Wi-Fi, 128GB) - Space Gray (Renewed Premium)",$229.00,4.4 out of 5 stars,
"Apple iPad 9.7' with WiFi, 32GB, Space Gray - MP2F2LL/A (Renewed)",$126.00,4.4 out of 5 stars,
Apple iPad mini 7.9in WiFi 16GB iOS 6 Tablet 1stGEneration - Black & Space Gray (Renewed),$89.99,3.6 out of 5 stars,
"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation) (Renewed)",$199.00,4.5 out of 5 stars,
"2018 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Gold (Renewed)",$139.00,4.5 out of 5 stars,
"Apple iPad Air (5th Generation): with M1 chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",$,4.8 out of 5 stars,
"2017 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Space Gray (Renewed)",$115.00,4.6 out of 5 stars,
"2017 Apple iPad (9.7-inch, WiFi + Cellular, 32GB) - Space Gray (Renewed)",$120.00,4.5 out of 5 stars,
Apple iPad (2018 Model) with Wi-Fi only 32GB Apple 9.7in iPad - Space Gray (Renewed),$125.00,4.5 out of 5 stars,
"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Pink",$,4.8 out of 5 stars,
"Apple iPad (10.2-Inch, Wi-Fi, 128GB) - Space Gray (Renewed)",$195.00,4.5 out of 5 stars,
name,price,stars,rating_count
"Apple Watch Series 7 (GPS + Cellular, 45MM) Graphite Stainless Steel Case with Midnight Sport Band (Renewed)",$229.00,3.9 out of 5 stars,
[クロックス] バヤ サンダル メンズ 10126,$27.12,4.7 out of 5 stars,
Crocs Women's Literide 360 Sandal,$32.28,4.3 out of 5 stars,
Crocs Unisex Platform Crocs Off Court Clog Sandals,$45.04,4.4 out of 5 stars,
Crocs Men's Swiftwater Wave Sandal Flat,$30.56,4.4 out of 5 stars,
Crocs Women's Baya Platform Sandal,$22.26,4.6 out of 5 stars,
Crocs Women's Tulum Flip Flops,$23.70,4.4 out of 5 stars,
Crocs Unisex-Adult Men's and Women's Classic Translucent Clog,$29.95,4.6 out of 5 stars,
Crocs Unisex-Adult Classic Glitter Clog,$31.75,4.6 out of 5 stars,
Crocs Unisex-Adult Classic Realtree Clog,$44.99,4.8 out of 5 stars,
Beslip Womens Mens Garden Clogs Shoes with Arch Support Unisex Comfort Slip-on Sandals,$19.99,4.3 out of 5 stars,
"Crocs Men's Santa Cruz Loafer, Comfortable Slip On Shoes for Men",$44.99,4.7 out of 5 stars,
Crocs Unisex-Child Kids' Cutie Crush Clog,$39.98,4.6 out of 5 stars,
"Crocs Unisex-Adult Bistro Clogs, Slip Resistant Work Shoes",$18.43,4.5 out of 5 stars,
Crocs Unisex-Adult Classic Clog,$39.18,4.8 out of 5 stars,
Crocs Unisex-Adult Classic Slide Sandals,$18.95,4.6 out of 5 stars,
Crocs Unisex-Adult Classic Printed Camo Clog,$40.99,4.8 out of 5 stars,
"Crocs Unisex Classic Lined Clog | Fuzzy Slippers, Black, Numeric_8 US Men",$,4.8 out of 5 stars,
Crocs Women's Men's Classic Animal Print Clog | Zebra and Leopard Shoes,$38.49,4.8 out of 5 stars,
"Crocs Womens Classic Platform Flip Flops, Platform Sandals",$21.62,4.5 out of 5 stars,
Crocs Unisex-Adult Mossy Oak Elements Wakeform Clog,$38.44,4.7 out of 5 stars,
adidas Unisex-Adult Adilette Clogs Slide Sandal,$33.00,4.6 out of 5 stars,
Crocs Unisex-Adult Ralen Lined Clog,$21.80,4.7 out of 5 stars,
Crocs Unisex-Adult Classic Sandal,$13.70,4.6 out of 5 stars,
Crocs Unisex-Adult Baya Slide Sandal,$20.64,4.4 out of 5 stars,
Crocs Unisex-Adult Literide 360 Clogs,$39.99,4.5 out of 5 stars,
Crocs Men's and Women's Specialist II Vent Clog | Work Shoes,$34.99,4.5 out of 5 stars,
Crocs Unisex-Adult Baya Graphic Clog,$24.98,4.7 out of 5 stars,
"Crocs Women's Mercy Work Clog | Work Shoes, Nurse Shoes, Chef Shoes",$39.95,4 out of 5 stars,
Crocs Unisex-Adult Classic Hiker Clog,$39.88,4.6 out of 5 stars,
"Crocs Unisex-Adult Classic Clog, Clogs for Women and Men",$41.25,4.3 out of 5 stars,
Crocs Unisex-Adult Dylan Mules Clogs-Shoes,$39.95,4.3 out of 5 stars,
Crocs Unisex-Adult J. Cole Dreamville Classic Clogs,$27.92,4.8 out of 5 stars,
Crocs Men's Yukon Vista Clog,$24.99,4.7 out of 5 stars,
Crocs Classic Solar Rainbow Clogs,$25.74,4.8 out of 5 stars,
Crocs Unisex-Adult Classic All Terrain Clogs,$23.99,4.6 out of 5 stars,
Crocs Unisex-Adult Classic Clog,$33.41,4.7 out of 5 stars,
Crocs Womens Classic Platform Clog,$51.25,4.6 out of 5 stars,
Crocs Unisex-Adult Echo Clog,$51.38,4.6 out of 5 stars,
Crocs Unisex-Adult Baya Clogs,$16.37,4.7 out of 5 stars,
Crocs Unisex-Adult Classic Lined Clog,$34.81,4.8 out of 5 stars,
Crocs Unisex-Child Kids' Classic Clogs,$34.76,4.8 out of 5 stars,
"Crocs Unisex-Adult Bistro Graphic Clogs, Slip Resistant Work Shoes",$27.99,4.6 out of 5 stars,
Crocs Unisex-Adult Marbled Clogs,$41.21,4.8 out of 5 stars,
Crocs Unisex Offroad Sport Clogs,$39.95,4.6 out of 5 stars,
Crocs Unisex-Adult Classic Graphic Clogs,$23.63,4.8 out of 5 stars,
Crocs Unisex-Adult Crocband Clog,$26.00,4.6 out of 5 stars,
Crocs Unisex-Adult Classic Clogs,$41.25,4.8 out of 5 stars,
Crocs Unisex-Adult Classic Clogs,$37.49,4.8 out of 5 stars,
"Apple Watch Series 7 (GPS + Cellular, 41MM) - Starlight Aluminum Case with Starlight Sport Band (Renewed Premium)",$239.00,4.5 out of 5 stars,
"Apple Watch Series 8 [GPS, 41mm] - Midnight Aluminum Case with Midnight Sport Band, M/L (Renewed)",$249.00,4.3 out of 5 stars,
"Apple Watch SE (GPS, 40mm) - Space Gray Aluminum Case with Midnight Sport Band (Renewed)",$139.95,4.2 out of 5 stars,
"Apple Watch Series 8 (GPS, 45MM) - Starlight Aluminum Case with Starlight Sport Band (Renewed Premium)",$268.97,4.4 out of 5 stars,
"Apple Watch SE (GPS, 40mm) - Gold Aluminium Case with Starlight Sport Band - Regular (Renewed)",$159.97,4.6 out of 5 stars,
"Apple Watch Ultra 2 [GPS + Cellular 49mm] Smartwatch with Rugged Titanium Case & Blue Alpine Loop Medium. Fitness Tracker, Precision GPS, Action Button, Extra-Long Battery Life, Carbon Neutral",$,4.2 out of 5 stars,
"Apple Watch Series 6 (GPS + Cellular, 44mm) - Space Gray Aluminum Case with Black Sport Band (Renewed)",$174.99,4.3 out of 5 stars,
"Apple Watch Series 6 (GPS, 44mm) - Space Gray Aluminum Case with Black Sport Band (Renewed)",$169.00,4.3 out of 5 stars,
"Apple Watch Series 7 GPS + Cellular, 45mm Midnight Aluminum Case with Midnight Sport Band - Regular (Renewed)",$209.00,4.3 out of 5 stars,
"Apple Watch Series 5 (GPS, 40MM) - Space Gray Aluminum Case with Black Sport Band (Renewed)",$148.00,4.3 out of 5 stars,
"Apple Watch SE (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band (Renewed)",$149.00,4.4 out of 5 stars,
"Apple Watch Series 5 (GPS + Cellular, 40MM) - Gold Aluminum Case with Pink Sport Band (Renewed)",$149.99,4.2 out of 5 stars,
"Apple Watch Series 4 (GPS, 40MM) - Gold Aluminum Case with Pink Sand Sport Band (Renewed)",$139.00,4.2 out of 5 stars,
"Apple Watch Series 9 [GPS 41mm] Smartwatch with Silver Aluminum Case with Storm Blue Sport Band S/M. Fitness Tracker, ECG Apps, Always-On Retina Display, Water Resistant",$,4.6 out of 5 stars,
"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Loop. Fitness & Sleep Tracker, Crash Detection, Heart Rate Monitor, Carbon Neutral",$,4.6 out of 5 stars,
Apple AirPods Pro Wireless Earbuds with MagSafe Charging Case (Renewed),$146.98,4 out of 5 stars,
"International Version – Kindle Oasis – Now with adjustable warm light - 8 GB, Graphite",$,4.4 out of 5 stars,
"Kindle Paperwhite E-reader (Previous generation – 2015 release) - Black, 6"" High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi, Ad-Supported",$,4.6 out of 5 stars,
"Amazon Fire 7 tablet, 7” display, read and watch, under $60 with 10-hour battery life, (2022 release), 16 GB, Black",$,4.5 out of 5 stars,
"Certified Refurbished Kindle (2022 release) – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage - Black",$,4.7 out of 5 stars,
"Certified Refurbished Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, 30% faster processor, designed for portable entertainment, (2022 release), Black",$,4.4 out of 5 stars,
"Kindle Paperwhite Kids – kids read, on average, more than an hour a day with their Kindle - 16 GB, Warrior Cats",$,4.7 out of 5 stars,
"International Version – Kindle – The lightest and most compact Kindle, now with a 6” 300 ppi high-resolution display, and 2x the storage – Black",$,4.6 out of 5 stars,
"Certified Refurbished Amazon Kindle Paperwhite Signature Edition (32 GB) | With a 6.8"" display, wireless charging, and auto-adjusting front light – With Lockscreen Ads | Agave Green",$,4.6 out of 5 stars,
"Certified Refurbished Amazon Kindle Paperwhite (16 GB) | Now with a larger display, adjustable warm light, increased battery life, and faster page turns | Denim",$,4.7 out of 5 stars,
Kindle (2019 release) - With a Built-in Front Light - Black - Without Lockscreen Ads,$,4.6 out of 5 stars,
"Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, 30% faster processor, designed for portable entertainment, (2022 release), Black",$,4.4 out of 5 stars,
"All-new Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Black",$,4.5 out of 5 stars,
"Amazon Kindle Scribe (64 GB) - 10.2” 300 ppi Paperwhite display, a Kindle and a notebook all in one, convert notes to text and share, includes Premium Pen",$,4.2 out of 5 stars,
"Amazon Kindle Paperwhite Signature Edition (32 GB) – With auto-adjusting front light, wireless charging, 6.8“ display, and up to 10 weeks of battery life – Without Lockscreen Ads – Black",$,4.7 out of 5 stars,
"Amazon Kindle Paperwhite (16 GB) – Now with a larger display, adjustable warm light, increased battery life, and faster page turns – Black",$,4.7 out of 5 stars,
"Amazon Kindle – The lightest and most compact Kindle, with extended battery life, adjustable front light, and 16 GB storage – Black",$,4.7 out of 5 stars,
Apple AirPods 2 with Charging Case - White (Renewed),$,4.4 out of 5 stars,
"JBL Vibe 200TWS True Wireless Earbuds - Black, Small",$,4.2 out of 5 stars,
Apple Airpods In-Ear Bluetooth Wireless Headset (Renewed),$84.65,4.2 out of 5 stars,
JBL Tune 130NC TWS True Wireless In-Ear Noise Cancelling Headphones,$,4.2 out of 5 stars,
"Beats Studio Buds + | True Wireless Noise Cancelling Earbuds, Enhanced Apple & Android Compatibility, Built-in Microphone, Sweat Resistant Bluetooth Headphones, Spatial Audio - Cosmic Silver",$,4.2 out of 5 stars,
"Wireless Earbuds, Bluetooth Headphones with Charging Case, 40H Playtime Deep Bass Stereo in-Ear Earbud, Touch Control Noise Canceling Headphones with Mic, IPX7 Waterproof Earphones for Android/iOS",$,4.6 out of 5 stars,
"Wireless Earbuds, Bluetooth 5.3 Headphones in Ear with Noise Cancelling Mic, Earbuds Stereo Bass, IP7 Waterproof Sports Earphones, 32H Playtime USB C Charging Ear Buds Purple for Android iOS",$,4.3 out of 5 stars,
"Wireless Earbuds, 2024 Wireless Headphones HiFi Stereo Earphones with 4 ENC Noise Canceling Mic, 42Hs Playtime In Ear Earbud, Bluetooth 5.3 Sport Earphones with LED Power Display for Android iOS White",$,4.5 out of 5 stars,
"Wireless Earbuds, 2024 Bluetooth Headphones 5.3 HiFi Stereo Earphones, 40H Playtime in-Ear Earbud, Bluetooth Earbud with Dual Mic Call, IP7 Waterproof Earphones Sport Headset for iOS",$,4.5 out of 5 stars,
"Beats Studio Buds - True Wireless Noise Cancelling Earbuds - Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - White",$,4.3 out of 5 stars,
Apple AirPods with Lightning Charging Case (3rd Generation) (Renewed),$119.99,4.3 out of 5 stars,
"JBL Vibe Beam True Wireless Headphones - White, Small",$,4.4 out of 5 stars,
"Apple AirPods (3rd Generation) Wireless Ear Buds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, Lightning Charging Case Included, Up to 30 Hours of Battery Life",$,4.5 out of 5 stars,
"Apple AirPods Pro (2nd Generation) Wireless Ear Buds with USB-C Charging, Up to 2X More Active Noise Cancelling Bluetooth Headphones, Transparency Mode, Adaptive Audio, Personalized Spatial Audio",$,4.7 out of 5 stars,
"Apple AirPods (2nd Generation) Wireless Ear Buds, Bluetooth Headphones with Lightning Charging Case Included, Over 24 Hours of Battery Life, Effortless Setup for iPhone",$,4.7 out of 5 stars,
"DASH Tasti-Crisp™ Ceramic Air Fryer Oven, 2.6 Qt., Cream – Compact Air Fryer for Healthier Food in Minutes, Ceramic Nonstick Surface, Ideal for Small Spaces - Auto Shut Off, Digital, 1000-Watt",$,4.5 out of 5 stars,
"Apple iPad Air 2 MGKM2LL/A (64GB, Wi-Fi, Silver) NEWEST VERSION (Renewed)",$125.00,4.2 out of 5 stars,
"Apple iPad Pro (11-inch, Wi-Fi, 64GB) - Space Gray (2018) (Renewed)",$339.90,4.4 out of 5 stars,
"2020 Apple iPad Air (10.9-inch, Wi-Fi, 64GB) Green (Renewed)",$369.95,4.5 out of 5 stars,
"2022 Apple iPad (10.9-inch, Wi-Fi, 64GB) - Blue (Renewed)",$369.00,4.5 out of 5 stars,
Apple Renewed iPad Air 2 - 64GB - Gold (Renewed),$135.00,4.4 out of 5 stars,
"2019 Apple iPad (10.2-inch, Wi-Fi, 128GB) - Space Gray (Renewed Premium)",$229.00,4.4 out of 5 stars,
"Apple iPad 9.7' with WiFi, 32GB, Space Gray - MP2F2LL/A (Renewed)",$126.00,4.4 out of 5 stars,
"2020 Apple iPad (10.2-inch, Wi-Fi, 32GB) - Space Gray (8th Generation) (Renewed)",$199.00,4.5 out of 5 stars,
"2018 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Gold (Renewed)",$139.00,4.5 out of 5 stars,
